trending_id,trend_date_time,trend,user1_id,tweet1,user2_id,tweet2,user3_id,tweet3,user4_id,tweet4,user5_id,tweet5
2396,2022-03-06 15:00:25.246985,#MotoGPNAESPN,0,-,0,-,0,-,0,-,0,-
2397,2022-03-06 15:00:25.408158,#AbreAsContasMBL,1087259768,"Devido a toda situação, a quantidade de dinheiro envolvido jamais explicado, nossos parlamentares devem entendem qu… https://t.co/8KSdVra62N",0,-,0,-,0,-,0,-
2398,2022-03-06 15:00:25.596908,Watford,40019154,"🚲 SAI UMA BICICLETA 🚲

@WatfordFC | @cucho1099 

#sporttvportugal #FUTEBOLnaSPORTTV #premierleague #pl #arsenal… https://t.co/EFaQuCHfTG",83693724,Cucho Hernández faz um dos gols mais bonitos da atual temporada da Premier League e empata para o Watford: 1-1 cont… https://t.co/W2dr0imGlx,55069015,"No pífio empate sem gols, em casa, com o Watford, o Manchester United tinha na reserva jogadores que são ou foram d… https://t.co/GCc9eapgwv",83693724,"Acabou! Tropeço gigantesco do Man United, que não saiu do placar em branco contra o penúltimo colocado, Watford, me… https://t.co/JHOlGkZnye",0,-
2399,2022-03-06 15:00:25.762093,#ForaJade,968821067044343809,"KKKKKKKKK AGORA O BRASIL FICA FELIZ!

#forajade",43952347,"Se Jade e Arthur não se salvarem amanhã, o terceiro integrante do paredão no #BBB22 será mero coadjuvante. Eu, part… https://t.co/yEyQmEw6mV",88753650,E eu já sou #ForaJade,232902240,#ForaJade com força,39366339,Podia rolar um #ForaJade hein kkkkk imagina o tombo da galera que tem certeza que ela é forte… ela saindo logo pro Arthur haha #bbb22
2400,2022-03-06 15:00:25.9459,seokjin,0,-,0,-,0,-,0,-,0,-
2401,2022-03-06 15:00:26.0696,63 X,0,-,0,-,0,-,0,-,0,-
2402,2022-03-06 15:00:26.229883,Balenciaga,784597554,Crocs da Balenciaga claramente copiando a iconica tamanca br “Pulo do Gato”: https://t.co/vHy69WlbTA,7092102,Bravo Balenciaga!!! https://t.co/SPNdDeoHMi,0,-,0,-,0,-
2403,2022-03-06 21:00:14.451942,ARRASCAETA,3343368929,"O Arrascaeta fez duas faltas da mesma forma: matando contra-ataque no Nenê. 

Nada de amarelo.",3091517266,⏱ 44' 2T - GGGGGGGGGGGGGGGGGGOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLAAAAAAAAAAAAAAAAAAA… https://t.co/BhV4gWQliP,124658538,"SIMPLESMENTE ARRASCAETA!
CRAQUE!

QUE GOLAÇO!
Flamengo 2x1 Vasco",1524689467,ARRASCAETA BRABO DEMAIS,59591856,45' | 2ºT | 2-1 - Cartão amarelo para Arrascaeta por ter tirado a camisa na comemoração. #FLAxVAS #VamosFlamengo
2404,2022-03-06 21:00:14.662937,Andreas,466976176,Que vacilada de Andreas Pereira. Sejamos francos? João Gomes merece (e muito) ser titular no Flamengo na vaga do Andreas.,466976176,Andreas Pereira não tem psicológico para suportar essa pressão da torcida do Flamengo. Claramente ficou abalado com… https://t.co/ebDpMku5go,124658538,"Tá tudo bem, Andreas. Pode errar de novo.
Acontece. Fica bem!",2595204090,Andreas com mais uma atuação apagada até aqui. Santo Banco Central...,48491604,"🔴 Andreas Pereira foi o pior em campo no Índice Footstats até ser substituído:

◉ 0/2 finalizações no alvo
◉ 0 assi… https://t.co/OXRkMZhInE"
2405,2022-03-06 21:00:14.938167,Flamengo,59591856,GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO… https://t.co/PfrGOI6mz8,59591856,"HOJE TEM MENGÃO NO CARIOCA! 

Às 16h, o Mais Querido enfrenta o Vasco, no Estádio Nilton Santos! Vamos com tudo em… https://t.co/bCGMCPG0LJ",59591856,GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO… https://t.co/SinUM7Hmxn,73624398,A soberba e o sono do Flamengo em clássicos são revoltantes.,15911679,"PAPA-TÍTULOS! Enquanto o Flamengo chegou a uma das eras mais vitoriosas da sua história, o Vasco vive um mau moment… https://t.co/UPQT7ztrxG"
2406,2022-03-06 21:00:15.170215,Marinho,59591856,"37' | 2ºT | 1-1 - Substituição!

▶️Entra: Marinho

◀️Sai: Fabrício Bruno

#FLAxVAS #VamosFlamengo",59591856,"41' | 2ºT | 1-1 - Marinho arrisca de longe, mas a bola vai por cima do gol! #FLAxVAS #VamosFlamengo",8802752,Biólogo conta mais sobre a espécie =&gt; https://t.co/w75lfSVTDf #g1,3157927787,Paulo Sousa chamou João Gomes para o aquecimento. Volante aquece com Vitinho e Marinho,59591856,"Campeão Mundial (1981), da Libertadores (1981), tricampeão brasileiro (1980, 1982 e 1983) e campeão carioca (1981)… https://t.co/RJyJR9LmxN"
2407,2022-03-06 21:00:15.369415,#TheMaskedSingerBR,1159210901825904640,não concordo #TheMaskedSingerBr MUDA BRASIL,1402291756364963846,"Eu digo Camaleão e vocês dizem: ARTISTA! 🦎🦎🦎 

Como superar essa apresentação do mascarado? Ele entregou conceito e… https://t.co/vuWTiroH6K",1402291756364963846,"Pode chegar, puxar o sofá e começar a dançar, porque vai rolar a festa e avisa que é da mainha @ivetesangalo! 

O… https://t.co/Qla8yfbX2E",1402291756364963846,"Pane no sistema, alguém me desconfigurou aqui! Juan Paiva é o nosso Robô, QUE TUUUUUDO! 🤖🤖🤖 

Quem aí também acerto… https://t.co/I9VFRtsgM9",137777595,O robô é a Flávia Alessandra #TheMaskedSingerbr https://t.co/h2IaqtSwyP
2408,2022-03-06 21:00:15.611566,João Gomes,466976176,Que vacilada de Andreas Pereira. Sejamos francos? João Gomes merece (e muito) ser titular no Flamengo na vaga do Andreas.,67595911,"Paulo Sousa reclamou que gostaria de ver o time com mais fome. Observação dele. Mas quem teve mais fome até agora,… https://t.co/rP5Y3sspkM",55071987,"Hugo , Matheuszinho, F Bruno , D.Luiz , F Luis , Thiago Maia , joao Gomes , Arrasca , Gabi , Pedro e BH . Se JG fos… https://t.co/geUp7nVlXW",59591856,"10' | 2ºT | 1-1 - Duas substituições!

▶️Entram: João Gomes e Vitinho

◀️Saem: Andreas e Everton Ribeiro

#FLAxVAS #VamosFlamengo",3157927787,Paulo Sousa chamou João Gomes para o aquecimento. Volante aquece com Vitinho e Marinho
2409,2022-03-06 21:00:15.842842,Paulo Sousa,67595911,"Paulo Sousa reclamou que gostaria de ver o time com mais fome. Observação dele. Mas quem teve mais fome até agora,… https://t.co/rP5Y3sspkM",55069015,“Tristômetro” em ação. Tita disse que Andreas Pereira saiu “triste” e que Paulo Sousa não deveria tê-lo substituído… https://t.co/CwIelqE9Eb,3157927787,Paulo Sousa não gostou da falta cometida por Andreas Pereira e reclamou com o volante,19285827,Não adianta o Paulo Sousa dar um abraço no Andreas e sacar o jogador depois de uma falha pra ser vaiado,51898881,"Provavelmente, Paulo Sousa vai falar no intervalo com a equipe sobre a tal ""fome"". Faltou no primeiro tempo. #FLAxVAS"
2410,2022-03-06 21:00:16.116653,Hugo,2645566484,"Hoje é aniversário de falecimento do ex-ditador da Venezuela, Hugo Chaves. Ele foi responsável por transformar o pa… https://t.co/fyfJtZ8jVA",55071987,"Hugo , Matheuszinho, F Bruno , D.Luiz , F Luis , Thiago Maia , joao Gomes , Arrasca , Gabi , Pedro e BH . Se JG fos… https://t.co/geUp7nVlXW",132699857,"13) Jade e Arthur movimentaram até a volta do BBB 20: o Victor Hugo mandou um shade para a Boca Rosa 🗣

#BBB22 https://t.co/6qsVn46DFv",65720380,"Em 5 de março de 2013 perdíamos Hugo Rafael Chávez Frias. 

O que fica é seu legado de defesa do Socialismo, de lut… https://t.co/e8k286gWoz",21390437,"#JunioresBenfica | ⏹️ Fim do jogo!

⚽ Franculino Djú (2), Hugo Félix e Nuno Félix.

#MadeInBenfica https://t.co/2yXnV4n6nG"
2411,2022-03-06 21:00:16.38753,Virgínia,941304403054727169,"socorro a virginia gravida de novo

agora só falta a gkay ficar gravida do joao guilerme 😍😍😍🙏🏻🙏🏻🙏🏻🙏🏻",15292534,Baby a bordo! 👼🏻 Virgínia Fonseca revelou que ela e o cantor Zé Felipe estão esperando o segundo filho. A influenci… https://t.co/Ad56rCVvJd,59340951,EXCLUSIVO https://t.co/qA49co1UG7,75450047,VEI A VIRGINIA GRAVIDAAAAA 😍😍😍😍😍😍😍 MEU CORAÇÃO TA TAO QUENTINHO AF,3331429624,"🗣️👀 Exclusivo! Virgínia Fonseca confirma que está grávida pela segunda vez

Influenciadora teve enjoos, fez o teste… https://t.co/rn2AAaq573"
2412,2022-03-06 21:00:16.543294,#FLAxVAS,59591856,GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO… https://t.co/PfrGOI6mz8,59591856,"HOJE TEM MENGÃO NO CARIOCA! 

Às 16h, o Mais Querido enfrenta o Vasco, no Estádio Nilton Santos! Vamos com tudo em… https://t.co/bCGMCPG0LJ",59591856,GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO… https://t.co/SinUM7Hmxn,28273230,"GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOL DO VASCÃO!

GABRIEL PEC!

#FLAxVAS 1-1
#Carioca2022naVascoTV… https://t.co/TxF3oFQOWN",28273230,"#DiaDeVasco 💢 #VascoDaGama

Curtiu a ilustração? Ela está presente no #ColecionaveisCRVG do jogo #FLAxVAS. Clique n… https://t.co/WK3hBNlKsA"
2413,2022-03-07 03:00:35.456288,viny,18628002,"Se a Jade sair, a Eslô vai chorar, Eli e Viny vão se desesperar, Laís vai jurar vingança. P.A. vai ficar solteiro e… https://t.co/x4X2MjRhCh",82223904,"tava sumido sobre #bbb22 voltei so pra dizer que NAO AGUENTO MAIS ouvir Jessi, Arthur, Viny e Eliezer. Ja abandonei… https://t.co/GrYUM32z9H",432983617,viny o menino viciado em quase cair durante o ao vivo,15336738,"Viny caindo da cadeira no confessionário 
Ri muito #bbb22 https://t.co/PG73wUkkkS",20923479,Pelo menos o PA se incomoda com algo dentro da casa ao invés de ficar só deitado né Viny #BBB22
2414,2022-03-07 03:00:35.679762,Natália,2682908887,"natália: ""acho que o arthur tem que ter cuidado em uma coisa... eu também fui em  3 paredões e não tenho essa autoc… https://t.co/kUpYglal5H",2682908887,"quando é a natália: passou do ponto
quando é o eli: emocionalmente abalado #bbb22 https://t.co/istm4Gxo4O",132699857,"17) Douglas comenta sobre a situação acontecendo na festa.

“Ela [Natália] dividiu ele também [com a Maria]”… https://t.co/INMXeYUklf",2870187801,"Não é por nada não, mas todo mundo sabia que a Natália tá gostando do Eli, menos as amigas dela. #BBB22",432983617,Eli jogando a responsabilidade nas costas da Natália ah me poupe
2415,2022-03-07 03:00:35.823729,#ForaJessi,0,-,0,-,0,-,0,-,0,-
2416,2022-03-07 03:00:36.157897,O Gustavo,2474353003,"O Arthur tem que proteger o Gustavo por qual motivo? O cara protege a Laís, uma de suas rivais! E desde o início el… https://t.co/P0Qq09dDZn",808827182571286528,"Gustavo perguntou para Lina por qual motivo ela vai votar nele hoje. 

Desde que o Gustavo entrou na casa, ele deix… https://t.co/NlrnflvXhy",10683412,Arthur tá certíssimo de não se alinhar ao grupo pra salvar o Gustavo. Ele precisa alimentar esse conflito de intere… https://t.co/wKDq43BLhk,978373146859507712,"O Artur não tem obrigação de proteger o Gustavo, a Laís considera ele o maior rival e o Gustavo vai proteger ela a… https://t.co/gTi7FSnDn3",62823322,A Jade quer enfrentar o Gustavo no paredão? #BBB22 https://t.co/rXOLY5iRhN
2417,2022-03-07 03:00:36.288531,#95KPromodeBooks,102826672,passando nessa tag cheia de bookstans pra divulgar a comunidade sobre livros aqui no Twitter 😍📚 #95KPromodeBooks https://t.co/wKZUyg4lKt,0,-,0,-,0,-,0,-
2418,2022-03-07 03:00:36.418435,#ARSD,0,-,0,-,0,-,0,-,0,-
2419,2022-03-07 03:00:36.620866,Cruzeiro,1562061097,Pênalti pra eles. Isso choca um total de 0 pessoas.,1562061097,"Hoje é dia de clássico! 👊

Vamos, meu Cruzeiro, jogar com raça pra vencer! 🦊 https://t.co/7bS5QIKzFz",1562061097,"Obrigado pela festa de hoje, Nação Azul! 💙👊
Vamos seguir juntos, buscando nossos objetivos durante o ano todo!

🎥… https://t.co/2ZonEH9QmG",90676816,"📋 GALO ESCALADO! Confira nossa escalação para enfrentar o Cruzeiro pelo Campeonato Mineiro.

#VamoGalo #CAMxCRU 🏴🏳️ https://t.co/u9SBm4IklM",55069015,"Parece brincadeira, mas não é. Isso aí foi o pênalti dado contra o Cruzeiro, que vencia por 1 a 0. https://t.co/3E0NNdBRyg"
2420,2022-03-07 03:00:36.787109,#Fantastico,29797128,"Batman, talvez o mais enigmático dos super-heróis dos quadrinhos, está de volta aos cinemas. Quem dá vida ao Homem-… https://t.co/KVTnmiMMgs",1604362668,"Meu deus, o #fantastico falando de Zelensky como Capitão Ucrânia, um super herói. Putin o grande vilão. 
São anos d… https://t.co/cvY6YVVCGI",29797128,"A jornalista @SoniaBridi conversa com @harari_yuval, um dos mais importantes intelectuais da atualidade, sobre por… https://t.co/75cLDGVXCd",34779125,"🇺🇦🇷🇺 #Fantástico falando sobre Volodymyr Zelensky, presidente da Ucrânia: 

“Ele se elegeu presidente em 2018 com u… https://t.co/cPkoS5s82A",29797128,Ator dá vida ao Homem-Morcego no filme dirigido por Matt Reeves: ‘Não tem como fazer um filme do Batman sem ficar a… https://t.co/3YVJwVBSJs
